Designator,Mid X,Mid Y,Rotation,Layer
C1,30.917827,-49.458452,0.0,bottom
C10,35.759375,-33.228125,0.0,bottom
C2,38.509375,-33.478125,180.0,bottom
C3,36.68125,-37.221875,180.0,bottom
C4,27.93125,-37.471875,90.0,bottom
C5,36.93125,-45.971875,270.0,bottom
C6,36.43125,-47.471875,180.0,bottom
C7,30.917827,-48.208452,180.0,bottom
C8,36.009375,-26.478125,90.0,bottom
C9,34.509375,-29.728125,90.0,bottom
D1,51.4375,-40.30625,90.0,bottom
D10,91.91875,-54.59375,90.0,bottom
D11,68.9,-73.64375,90.0,bottom
D12,70.884375,-73.64375,90.0,bottom
D13,72.86875,-73.64375,90.0,bottom
D14,74.853125,-73.64375,90.0,bottom
D15,76.8375,-73.64375,90.0,bottom
D16,71.678125,-78.94375,90.0,bottom
D17,73.6625,-78.94375,90.0,bottom
D18,75.646875,-78.94375,90.0,bottom
D2,53.421875,-40.30625,90.0,bottom
D3,55.40625,-40.30625,90.0,bottom
D4,90.728125,-35.54375,90.0,bottom
D5,92.7125,-35.54375,90.0,bottom
D6,49.05625,-59.35625,90.0,bottom
D7,51.040625,-59.35625,90.0,bottom
D8,53.025,-59.35625,90.0,bottom
D9,89.934375,-54.59375,90.0,bottom
F1,33.009375,-27.478125,180.0,bottom
J1,33.009375,-16.728125,0.0,bottom
R1,36.009375,-24.478125,0.0,bottom
R2,36.009375,-21.978125,180.0,bottom
R3,33.68125,-51.721875,0.0,bottom
R4,31.18125,-51.721875,0.0,bottom
U1,32.43125,-41.721875,0.0,bottom
U2,33.009375,-23.228125,90.0,bottom
U3,37.259375,-30.728125,0.0,bottom
U4,112.159375,-36.021875,90.0,bottom
boop,43.1875,-63.35,270.0,bottom
rebruce,37.1875,-63.35,90.0,bottom
