Designator,Mid X,Mid Y,Rotation,Layer
C1,89.783452,-49.854077,0.0,bottom
C10,94.625,-33.62375,0.0,bottom
C2,97.375,-33.87375,180.0,bottom
C3,95.546875,-37.6175,180.0,bottom
C4,86.796875,-37.8675,90.0,bottom
C5,95.796875,-46.3675,270.0,bottom
C6,95.296875,-47.8675,180.0,bottom
C7,89.783452,-48.604077,180.0,bottom
C8,94.875,-26.87375,90.0,bottom
C9,93.375,-30.12375,90.0,bottom
D1,49.85,-35.54375,90.0,bottom
D10,76.04375,-58.959375,90.0,bottom
D11,47.46875,-73.64375,90.0,bottom
D12,49.453125,-73.64375,90.0,bottom
D13,51.4375,-73.64375,90.0,bottom
D14,53.421875,-73.64375,90.0,bottom
D15,55.40625,-73.64375,90.0,bottom
D16,71.678125,-78.94375,90.0,bottom
D17,73.6625,-78.94375,90.0,bottom
D18,75.646875,-78.94375,90.0,bottom
D2,51.834375,-35.54375,90.0,bottom
D3,53.81875,-35.54375,90.0,bottom
D4,55.803125,-35.54375,90.0,bottom
D5,110.175,-37.528125,90.0,bottom
D6,49.453125,-54.453125,90.0,bottom
D7,51.4375,-54.453125,90.0,bottom
D8,53.421875,-54.453125,90.0,bottom
D9,74.059375,-58.959375,90.0,bottom
F1,91.875,-27.87375,180.0,bottom
J1,91.875,-17.12375,0.0,bottom
R1,94.875,-24.87375,0.0,bottom
R2,94.875,-22.37375,180.0,bottom
R3,92.546875,-52.1175,0.0,bottom
R4,90.046875,-52.1175,0.0,bottom
U1,91.296875,-42.1175,0.0,bottom
U2,91.875,-23.62375,90.0,bottom
U3,96.125,-31.12375,0.0,bottom
U4,17.028125,-35.859375,270.0,bottom
boop,83.584375,-64.9125,270.0,bottom
reset,90.33125,-64.9125,90.0,bottom
